-22146,15064,4697,12456,25405,32767
-31234,9225,6012,7597,24272,32767
-32768,4622,6868,8832,9697,30946
-32768,1303,13764,-691,6308,2935
-32768,-56,11641,-3408,2822,-9762
-32768,-2066,10559,-4048,-513,-22084
-32768,-108,8098,-3238,-1980,-30776
-31696,3448,6060,-4406,-7608,-32768
-14831,7809,2408,-6632,-18674,-32768
-7723,7116,1647,-6716,-21673,-32768
-3237,6918,463,-6262,-27299,-32768
-566,6971,-1480,-6927,-32648,-32768
6831,4945,-3114,-7036,-32768,-32644
18463,-2016,-1715,1182,-18812,-13955
15376,-3395,-3453,4132,-4720,-3997
14844,-5443,-3638,4564,3432,2766
15816,-7716,-3484,7116,11840,10935
14262,-9665,-3864,11459,18421,20926
11028,-9497,-2768,18180,19896,30994
8874,-7075,305,26794,19139,32767
8160,-2497,2616,32564,20863,32767
3582,4949,4944,32767,28034,32767
-5985,12279,4622,32767,32741,32767
-17616,19448,6066,30484,27862,32767
-29148,22381,7374,22900,19930,32767
-22133,17691,7923,16369,3330,32767
-16699,16631,10770,16528,8203,32767
-23618,23256,11139,17096,13902,32767
-16673,23069,8776,14181,15439,32767
-9247,20750,5355,10113,22388,29208
-11218,24900,4222,8366,32242,22876
-21343,25058,-1645,7241,32767,18236
-24028,21220,-6490,4326,32747,13160
-21550,16470,-5374,-233,27844,8723
-20669,13065,-4918,302,16579,6789
-18534,12810,-3920,1949,4502,5535
-14248,12097,-3164,1694,-4295,5105
-8579,12045,-1224,2139,-6348,4127
-4815,13577,909,3123,-368,1100
-4598,16066,2669,1249,9360,-2146
-8839,16162,1562,-1642,12110,-2448
-11512,15410,1895,-3424,6088,-1566
-10294,14554,2588,-2013,-1421,-1076
-7061,15208,2313,-195,-5862,-1091
-4618,15235,828,-12,-5784,-1231
-4200,15235,-277,155,-4458,-1332
-4516,15160,-1060,92,-3657,-1403
-4714,15426,-1908,251,-3798,-876
-4342,14969,-2073,204,-3879,405
-4438,13343,-1363,1099,-3346,1878
-5023,13318,-645,1949,-2477,2451
-6601,14068,-275,1662,-2131,1994
-7591,14335,-536,972,-3327,874
-7089,14246,-912,991,-5377,-156
-5612,14578,-875,1365,-6694,-367
-4927,14836,-498,1123,-6118,-266
-6704,14906,-101,581,-5119,-388
-12063,15232,1372,246,-13444,-3594
-13410,15988,1297,-745,-16249,-5128
-13093,16728,2110,-1861,-17122,-8026
-11586,17335,3789,-3219,-13971,-12299
-12057,17577,5342,-5451,-6694,-16991
-14825,17191,5575,-8009,-1451,-21615
-18230,15971,4760,-10489,225,-25705
-19344,14185,4727,-10994,-1915,-28884
-21342,13653,4763,-10387,-4382,-31621
-23445,13422,5034,-9511,-9747,-32768
-20750,13339,5215,-9165,-11835,-32768
-21575,12185,5469,-8655,-10032,-32768
-24499,11499,4231,-9256,-10608,-32768
-20924,9208,3672,-10232,-13537,-32768
-19116,7042,5456,-9552,-10848,-32768
-21430,7076,4453,-8791,-10085,-32768
-16834,6004,2464,-10315,-14263,-32768
-11139,4025,3376,-11954,-15893,-32768
-8260,2514,3359,-12961,-16802,-32768
-5181,848,2399,-13466,-18652,-32768
-531,255,1772,-13963,-19247,-32768
4793,-2232,1436,-14771,-15837,-29720
6682,-5765,1304,-14189,-8256,-23959
5722,-7054,1560,-11131,-4473,-17663
9284,-7004,1743,-8515,-1654,-11261
15546,-7538,1551,-5851,2085,-3548
17690,-9280,669,-876,4231,7704
17736,-9291,-1224,5112,2843,21192
