7299,-6497,22022,22735,7371,-919
6365,-6548,31989,23412,6373,-2507
7425,-3816,32767,19154,4148,-5749
7261,-5017,32767,12920,168,-7382
7429,-6245,32767,10047,-4819,-5813
3613,-4903,32767,6582,-7418,-4578
-3867,-4211,29280,2925,-14372,-3335
-9436,-3109,17286,-186,-24511,-3211
-9200,-4326,5202,-1079,-32319,-5363
-3559,-6421,-1404,2924,-32768,-8723
5217,-5709,-4975,10253,-17468,-14583
3514,-3258,-2609,15135,-3556,-14318
-483,274,-2114,14828,4383,-16888
-166,1043,3237,10572,9488,-19607
2259,137,6567,6616,14647,-19764
1668,-2540,8178,2734,25171,-18762
-3514,-4304,10565,1077,32691,-18415
-15549,-4345,14289,118,32767,-19777
-28343,-6067,25007,-2341,32767,-25278
-32566,-3397,32767,-2581,32750,-32254
-32768,5231,32767,-3847,27008,-32768
-31766,14604,32767,-3979,12635,-32768
-23956,25913,32767,-4100,1306,-32768
-15627,31329,32767,-8853,-6760,-32768
-7890,26392,28787,-11211,-12832,-32768
-4496,22591,18393,-10826,-17578,-32704
1864,22199,8454,-12073,-22881,-28233
7116,17892,2223,-12393,-23632,-20232
9984,15179,-913,-9127,-16890,-9767
6869,10645,-670,-5225,-6726,-2032
2794,9375,233,-802,-966,2895
3440,6981,1519,1575,2263,8862
3597,5495,3490,5037,4363,14879
3888,6360,5994,8333,6599,21024
5803,9349,10147,11331,10634,26820
1874,12665,18375,13702,17913,31322
-9587,16523,29600,14535,18992,32767
-19007,12824,32767,14399,8844,32081
-17691,5646,32767,15241,-6085,30102
-12725,2767,32767,14244,-15641,27510
-11073,1042,32767,9835,-18830,24877
-12330,-3340,31456,5860,-20795,23366
-13845,-6816,22680,4200,-23228,20406
-13186,-9425,13883,4282,-24494,15644
-11748,-10655,6761,5741,-24030,10045
-9310,-11340,1329,7345,-21720,4590
-6571,-10866,-1145,10018,-17839,-382
-2906,-9311,-837,12114,-11085,-6378
-1672,-3709,1639,11074,-4124,-9589
-844,-1786,3995,5921,1934,-11085
219,-2412,5425,-391,9361,-11823
